"ID,""GEO"",""SECTOR"",""EMPLOYEES"",""INCOME"",""MARKETING_SPENDING"",""ACC_BEFORE"",""PWC_PRESS_INDEX"",""FB_LIKES"",""TWT_FOLLOWERS"",""YEAR_FOUNDED"",""EXP_CEO"",""AREA"",""PWC_EMPLOYEES"",""CREDIT"",""FLAG"""
"1556,""  21.0607233754895  , 52.2993069232604  "",""IT"",""29"",""199588"",""5000"",""1"",""-4.52225150281988"",""495"",""96"",""2004"",""6"",""75"",""2"",""214"",""0"""
"1557,"" 21.1398709774781  , 52.2175576259429   "",""IT"",""47"",""343180"",""10069"",""0"",""-1.22091730077367"",""957"",""218"",""2004"",""12"",""366"",""1"",""1048"",""1"""
"1558,"" 21.0255604795245  , 52.2228110678168    "",""CAFE"",""7"",""500130"",""30213"",""0"",""7.02218455538755"",""5928"",""613"",""2013"",""NA"",""53"",""0"",""30109"",""1"""
"1559,"" 21.1525084090568  , 52.2168431108515   "",""IT"",""46"",""302730"",""9885"",""1"",""-2.96775370470965"",""956"",""218"",""2003"",""NA"",""327"",""3"",""1009"",""0"""
"1560,"" 21.0279142409491  , 52.2397238145629    "",""RESTAURANT"",""5"",""500907"",""30067"",""0"",""8.67030491762499"",""5930"",""569"",""2013"",""NA"",""49"",""1"",""45040"",""1"""
"1561,""  21.0613326612534  , 52.29231773949  "",""PUB"",""3"",""190000"",""8043"",""0"",""0.601559326761443"",""1576"",""149"",""2009"",""NA"",""30"",""0"",""13057"",""1"""
"1562,"" 21.1601897137277  , 52.178939654904   "",""IT"",""53"",""292680"",""9893"",""0"",""-2.11111111511616"",""1029"",""213"",""2002"",""NA"",""347"",""3"",""10807819"",""0"""
"1563,"" 21.0077280602474  , 52.2225043276791    "",""IT"",""21"",""329250"",""23820"",""1"",""3.31363761134909"",""2537"",""471"",""2010"",""5"",""216"",""6"",""61395"",""1"""
"1564,"" 21.1577376575666  , 52.1918980296515   "",""IT"",""4"",""78032"",""7093"",""0"",""0.927583052664991"",""689"",""148"",""2012"",""NA"",""72"",""1"",""20264"",""1"""
"1565,"" 21.0103237303866  , 52.235281459433    "",""IT"",""18"",""314000"",""27920"",""1"",""3.19978301723057"",""2695"",""558"",""2010"",""6"",""201"",""3"",""59632"",""1"""
"1566,"" 21.1666292500505  , 52.2133895540889   "",""IT"",""47"",""262310"",""10006"",""1"",""-1.8838801195412"",""1016"",""194"",""2002"",""14"",""346"",""3"",""9191904"",""0"""
"1567,"" 21.0227609640919  , 52.2366731600696    "",""IT"",""4"",""143500"",""8000"",""0"",""3.11365438650269"",""849"",""151"",""2013"",""7"",""22"",""1"",""0"",""1"""
"1568,"" 21.0284368948191  , 52.2318664751342    "",""IT"",""21"",""382500"",""68180"",""1"",""3.53655579201487"",""6893"",""1410"",""2011"",""9"",""204"",""5"",""0"",""1"""
"1569,"" 21.0009409744593  , 52.2284745276347    "",""RESTAURANT"",""4"",""500714"",""29885"",""0"",""15.5520458844134"",""6192"",""614"",""2009"",""NA"",""54"",""0"",""65283"",""1"""
"1570,"" 21.1364840548215  , 52.204584962111   "",""RESTAURANT"",""1"",""150034"",""7905"",""0"",""2.55632969684671"",""1553"",""166"",""2010"",""5"",""35"",""0"",""18020"",""0"""
"1571,"" 21.0020056492963  , 52.2360488870926    "",""IT"",""4"",""80900"",""11030"",""0"",""1.11678307163861"",""1066"",""225"",""2009"",""6"",""16"",""0"",""0"",""1"""
"1572,""  21.0979119128012  , 52.2782962942473  "",""IT"",""3"",""200798"",""5005"",""1"",""-4.6435260969605"",""507"",""109"",""2005"",""6"",""66"",""0"",""1201"",""0"""
"1573,"" 21.0083050303899  , 52.2281605483638    "",""IT"",""22"",""382500"",""35940"",""1"",""2.48177238921745"",""3622"",""683"",""2008"",""NA"",""200"",""5"",""61063"",""1"""
"1574,"" 21.1950812537288  , 52.1909491911344   "",""IT"",""51"",""282450"",""9982"",""0"",""-2.39723837241584"",""1006"",""207"",""2006"",""NA"",""350"",""3"",""1216"",""1"""
"1575,""  21.0481572167017  , 52.2973610386578  "",""IT"",""5"",""200268"",""5006"",""0"",""-4.82994336193632"",""489"",""107"",""2008"",""5"",""70"",""0"",""798"",""1"""
"1576,""  21.0434699542332  , 52.2788084985828  "",""IT"",""29"",""199866"",""4857"",""0"",""-3.82548828450703"",""463"",""101"",""2002"",""8"",""72"",""1"",""0"",""1"""
"1577,"" 21.1717198999841  , 52.1944658296928   "",""PUB"",""3"",""150548"",""8043"",""0"",""-17.6494808288278"",""1564"",""133"",""2006"",""NA"",""31"",""0"",""17000"",""0"""
"1578,"" 21.1876778660184  , 52.2065686032223   "",""IT"",""51"",""333000"",""9966"",""0"",""-1.61786796339933"",""977"",""198"",""2000"",""11"",""362"",""0"",""9697355"",""0"""
"1579,"" 21.0239216314964  , 52.2271297209337    "",""PUB"",""5"",""499437"",""30303"",""0"",""4.6562816039747"",""6048"",""616"",""2013"",""NA"",""46"",""0"",""35106"",""0"""
"1580,"" 21.1736412271606  , 52.1864766747737   "",""IT"",""5"",""82001"",""7602"",""1"",""0.838861305728966"",""766"",""151"",""2011"",""2"",""59"",""1"",""20550"",""1"""
"1581,""  21.0308692561556  , 52.2956104142894  "",""IT"",""2"",""199884"",""5081"",""1"",""-4.02447275969736"",""512"",""106"",""2000"",""NA"",""69"",""1"",""0"",""0"""
"1582,"" 21.170080192511  , 52.2052768300101   "",""IT"",""44"",""292580"",""10180"",""1"",""-1.55614925550478"",""1094"",""211"",""2005"",""NA"",""340"",""6"",""9595615"",""0"""
"1583,""  21.0990089806798  , 52.279139421701  "",""PUB"",""3"",""150300"",""7974"",""0"",""8.75816404748767"",""1662"",""166"",""2008"",""6"",""27"",""2"",""17119"",""1"""
"1584,"" 21.0163801734231  , 52.2345329167973    "",""PUB"",""3"",""149973"",""8008"",""1"",""-1.96239576618354"",""1572"",""180"",""2008"",""3"",""25"",""0"",""0"",""0"""
"1585,"" 21.0089410944073  , 52.2317502218951    "",""IT"",""18"",""411250"",""52060"",""0"",""3.60296040076757"",""5305"",""1017"",""2006"",""8"",""215"",""3"",""60521"",""1"""
"1586,"" 21.1828619224234  , 52.1839235864743   "",""RESTAURANT"",""2"",""149880"",""7961"",""0"",""-8.33589264119112"",""1602"",""144"",""2004"",""NA"",""28"",""0"",""0"",""0"""
"1587,"" 21.0225359768069  , 52.2346524278866    "",""CAFE"",""4"",""500194"",""30132"",""0"",""17.2144844024947"",""5945"",""636"",""2013"",""NA"",""45"",""0"",""40101"",""1"""
"1588,"" 21.0020615636127  , 52.2327302047005    "",""IT"",""5"",""94000"",""8020"",""1"",""0.876551847909333"",""757"",""164"",""2013"",""NA"",""20"",""2"",""2006"",""1"""
"1589,""  21.0743092886941  , 52.2710875940206  "",""IT"",""26"",""200337"",""5082"",""1"",""-6.08325663005084"",""516"",""111"",""1999"",""7"",""64"",""1"",""0"",""1"""
"1590,"" 21.1838166096527  , 52.1731233383343   "",""PUB"",""1"",""150205"",""7922"",""0"",""-12.6803504106867"",""1684"",""149"",""2006"",""NA"",""30"",""0"",""27070"",""0"""
"1591,"" 21.0234253778474  , 52.2347816535039    "",""IT"",""5"",""123400"",""6020"",""1"",""2.67030516944945"",""618"",""125"",""2014"",""7"",""28"",""2"",""2005"",""1"""
"1592,"" 21.1595464949934  , 52.20364679449   "",""IT"",""5"",""91094"",""8595"",""0"",""2.4022722267934"",""832"",""161"",""2012"",""6"",""78"",""0"",""20247"",""1"""
"1593,""  21.0415000224579  , 52.2769587638602  "",""PUB"",""4"",""99800"",""7884"",""1"",""-17.3361015424187"",""1629"",""160"",""2004"",""NA"",""31"",""2"",""0"",""1"""
"1594,"" 21.0243575580218  , 52.2376929318253    "",""IT"",""4"",""100100"",""7920"",""1"",""1.19639541459509"",""803"",""152"",""2011"",""NA"",""26"",""4"",""5008"",""1"""
"1595,""  21.0600219684374  , 52.2901108845207  "",""IT"",""30"",""200149"",""5020"",""0"",""-5.77919558208062"",""506"",""99"",""2005"",""11"",""75"",""2"",""0"",""1"""
"1596,"" 21.006940743475  , 52.2286711671948    "",""RESTAURANT"",""6"",""499618"",""30091"",""0"",""-16.3018373255722"",""6026"",""595"",""2012"",""NA"",""48"",""0"",""70094"",""1"""
"1597,"" 21.1859050316913  , 52.1784128014627   "",""IT"",""47"",""282490"",""10035"",""1"",""-2.46379808741687"",""939"",""202"",""2002"",""NA"",""369"",""1"",""8889539"",""0"""
"1598,"" 21.0041705241194  , 52.2387557221437    "",""PUB"",""4"",""150207"",""7884"",""0"",""-15.3477958294909"",""1553"",""181"",""2009"",""5"",""29"",""0"",""0"",""0"""
"1599,"" 21.13559885763  , 52.2107371897018   "",""CAFE"",""4"",""149138"",""7945"",""0"",""-2.71101849816601"",""1578"",""145"",""2004"",""3"",""30"",""1"",""0"",""0"""
"1600,"" 21.0094370749951  , 52.223213065844    "",""CAFE"",""4"",""498989"",""29983"",""0"",""10.2015498823526"",""5927"",""572"",""2013"",""NA"",""45"",""1"",""60127"",""1"""
"1601,""  21.0539705200819  , 52.2764217758505  "",""PUB"",""5"",""170200"",""8055"",""0"",""-25.7929297659466"",""1606"",""165"",""2005"",""NA"",""34"",""1"",""0"",""1"""
"1602,""  21.0635223203176  , 52.279017000841  "",""IT"",""2"",""199751"",""5041"",""1"",""-5.03668456158474"",""500"",""97"",""2002"",""7"",""73"",""1"",""1202"",""0"""
"1603,""  21.0433979612845  , 52.2830607594177  "",""IT"",""27"",""199941"",""4862"",""1"",""-5.25222434449627"",""466"",""104"",""2005"",""NA"",""72"",""0"",""918"",""0"""
"1604,"" 21.1559182698634  , 52.212122555885   "",""IT"",""4"",""63825"",""8194"",""1"",""0.724550302073376"",""803"",""151"",""2011"",""NA"",""65"",""2"",""20976"",""1"""
"1605,"" 21.0240186958094  , 52.2217863558792    "",""PUB"",""4"",""499913"",""29850"",""0"",""26.2745526796483"",""6006"",""590"",""2012"",""NA"",""57"",""2"",""60118"",""0"""
"1606,"" 21.1884742549136  , 52.2085836768313   "",""IT"",""9"",""69947"",""7403"",""1"",""2.02482825561248"",""717"",""133"",""2012"",""4"",""70"",""2"",""20310"",""1"""
"1607,""  21.0488504042081  , 52.2892237131693  "",""IT"",""26"",""199469"",""4785"",""0"",""-4.78464117760591"",""512"",""112"",""2004"",""7"",""60"",""1"",""0"",""0"""
"1608,"" 21.177248287363  , 52.1898798862635   "",""IT"",""48"",""221900"",""9892"",""0"",""-1.60055426632161"",""950"",""208"",""2005"",""NA"",""333"",""2"",""882"",""1"""
"1609,"" 21.1651278125662  , 52.1778186959145   "",""IT"",""50"",""292590"",""9931"",""0"",""-2.43251912954482"",""994"",""224"",""2006"",""13"",""342"",""8"",""938"",""0"""
"1610,"" 21.0067550749865  , 52.221054434441    "",""IT"",""8"",""61700"",""12020"",""0"",""1.57832990926636"",""1181"",""241"",""2011"",""NA"",""25"",""0"",""0"",""1"""
"1611,"" 21.0213665176427  , 52.2280005641514    "",""IT"",""5"",""58700"",""16010"",""0"",""2.81356085860272"",""1620"",""318"",""2012"",""3"",""20"",""0"",""0"",""1"""
"1612,"" 21.1877688299073  , 52.2119047875912   "",""IT"",""4"",""80975"",""6387"",""0"",""1.38196606024026"",""619"",""132"",""2010"",""5"",""78"",""0"",""20096"",""0"""
"1613,"" 21.0056739672064  , 52.2327837860864    "",""IT"",""21"",""394750"",""54050"",""1"",""3.53936461222482"",""5468"",""1040"",""2009"",""8"",""198"",""9"",""58958"",""1"""
"1614,""  21.044749791401  , 52.2900212143338  "",""IT"",""30"",""200360"",""5138"",""0"",""-4.88235442678056"",""524"",""96"",""1999"",""4"",""72"",""2"",""497"",""1"""
"1615,"" 21.0182777891185  , 52.2344503269857    "",""CAFE"",""4"",""499283"",""29921"",""0"",""16.1122564666727"",""5936"",""609"",""2012"",""1"",""51"",""0"",""65168"",""1"""
"1616,""  21.0650175520265  , 52.27379500943  "",""IT"",""3"",""199823"",""4963"",""0"",""-7.10499587832263"",""498"",""90"",""2004"",""6"",""76"",""1"",""1199"",""1"""
"1617,"" 21.19018406511  , 52.2185676175915   "",""IT"",""4"",""82080"",""8192"",""0"",""1.30983899802724"",""789"",""145"",""2011"",""5"",""70"",""1"",""19306"",""0"""
"1618,""  21.0940937009198  , 52.2968220649404  "",""RESTAURANT"",""4"",""78900"",""8013"",""1"",""1.15512109557113"",""1676"",""153"",""2007"",""NA"",""33"",""0"",""17099"",""1"""
"1619,"" 21.1780863799704  , 52.1937184838043   "",""IT"",""46"",""312740"",""10048"",""0"",""-2.93059295119872"",""977"",""192"",""2002"",""14"",""362"",""3"",""873"",""0"""
"1620,"" 21.1745451671947  , 52.2112559286808   "",""IT"",""7"",""71913"",""7898"",""0"",""0.963957720553244"",""760"",""152"",""2011"",""7"",""76"",""0"",""20701"",""0"""
"1621,"" 21.1647838615933  , 52.1875456443219   "",""IT"",""48"",""232060"",""10012"",""0"",""-1.8779525527509"",""991"",""191"",""2006"",""11"",""357"",""2"",""11110926"",""0"""
"1622,"" 21.0139149882752  , 52.2261783652985    "",""IT"",""23"",""253500"",""30030"",""0"",""2.1196386403982"",""2935"",""580"",""2008"",""6"",""201"",""2"",""60078"",""1"""
"1623,"" 21.0171650199844  , 52.2205973165063    "",""CAFE"",""5"",""149754"",""8000"",""0"",""-13.6148583133079"",""1597"",""153"",""2009"",""6"",""28"",""0"",""19878"",""0"""
"1624,"" 21.141382181135  , 52.196202605071   "",""IT"",""50"",""292610"",""9981"",""1"",""-2.05754034168738"",""982"",""185"",""2005"",""12"",""346"",""4"",""7171910"",""1"""
"1625,""  21.0392272044066  , 52.2702612735052  "",""IT"",""3"",""200090"",""4951"",""1"",""-6.00011669061089"",""538"",""94"",""1997"",""8"",""77"",""0"",""1104"",""0"""
"1626,"" 21.0167882609451  , 52.238797186357    "",""IT"",""5"",""73800"",""6990"",""0"",""2.89225848917765"",""668"",""139"",""2010"",""NA"",""22"",""3"",""0"",""1"""
"1627,"" 21.1999840603778  , 52.1766580274957   "",""PUB"",""3"",""150022"",""8119"",""0"",""8.86086619863142"",""1663"",""178"",""2008"",""NA"",""29"",""0"",""17970"",""0"""
"1628,"" 21.1952855734518  , 52.213112421839   "",""IT"",""3"",""84048"",""9304"",""0"",""2.53703558470622"",""890"",""181"",""2011"",""4"",""67"",""2"",""20855"",""1"""
"1629,"" 21.1779408520386  , 52.1877572800079   "",""CAFE"",""3"",""150423"",""8057"",""1"",""-12.5563593869871"",""1648"",""155"",""2007"",""6"",""25"",""1"",""17050"",""0"""
"1630,""  21.0948469992448  , 52.2991940685757  "",""IT"",""2"",""199372"",""4981"",""1"",""-5.29822703758306"",""505"",""112"",""2000"",""7"",""67"",""1"",""1001"",""0"""
"1631,""  21.0597239362216  , 52.2715686402936  "",""IT"",""2"",""199627"",""5001"",""1"",""-5.30603852891438"",""541"",""108"",""2000"",""NA"",""69"",""0"",""598"",""0"""
"1632,""  21.0710585648427  , 52.275985277961  "",""IT"",""2"",""199710"",""4965"",""1"",""-7.27366254854765"",""474"",""95"",""2002"",""6"",""68"",""0"",""1303"",""0"""
"1633,"" 21.0106911517801  , 52.2238306304347    "",""IT"",""24"",""441000"",""47900"",""1"",""2.35534570631699"",""4808"",""968"",""2011"",""8"",""225"",""7"",""59998"",""1"""
"1634,"" 21.0217881405975  , 52.2392399454676    "",""PUB"",""5"",""499025"",""30223"",""0"",""22.8452997695106"",""6110"",""606"",""2012"",""NA"",""51"",""0"",""24875"",""1"""
"1635,"" 21.1836339612911  , 52.1748774921335   "",""RESTAURANT"",""2"",""149473"",""7858"",""0"",""6.42893227169775"",""1565"",""145"",""2004"",""NA"",""34"",""0"",""15950"",""0"""
"1636,""  21.0614142329642  , 52.2759269412141  "",""IT"",""4"",""199948"",""4863"",""0"",""-5.46868539322478"",""497"",""103"",""2006"",""4"",""70"",""1"",""1305"",""1"""
"1637,"" 21.0250150889885  , 52.2397182666045    "",""IT"",""20"",""516750"",""62210"",""0"",""5.15416862568123"",""6211"",""1231"",""2007"",""7"",""211"",""7"",""57380"",""1"""
"1638,""  21.0539994082996  , 52.2862663911912  "",""IT"",""3"",""200186"",""4993"",""0"",""-5.2325570981615"",""556"",""82"",""2006"",""6"",""72"",""0"",""1511"",""1"""
"1639,"" 21.019326903281  , 52.2358060581051    "",""IT"",""7"",""140500"",""9910"",""1"",""0.447397934170792"",""965"",""208"",""2011"",""4"",""21"",""1"",""-3999"",""1"""
"1640,""  21.0711673718784  , 52.2895571576618  "",""IT"",""3"",""199843"",""4964"",""1"",""-6.12480564573605"",""504"",""96"",""2006"",""7"",""79"",""2"",""0"",""0"""
"1641,"" 21.0241812034724  , 52.2279485425027    "",""IT"",""16"",""441000"",""35960"",""1"",""4.95043228544772"",""3692"",""722"",""2002"",""NA"",""180"",""6"",""0"",""0"""
"1642,"" 21.0081398179482  , 52.2367434958974    "",""CAFE"",""5"",""149889"",""8067"",""0"",""-11.8293266134199"",""1704"",""172"",""2010"",""7"",""31"",""0"",""0"",""0"""
"1643,""  21.05426824542  , 52.2745975124394  "",""IT"",""5"",""200501"",""5019"",""0"",""-6.3908780554069"",""492"",""97"",""2006"",""NA"",""68"",""0"",""0"",""1"""
"1644,"" 21.1331183793424  , 52.2130628583767   "",""IT"",""54"",""252240"",""10141"",""1"",""-1.95836482666295"",""1034"",""208"",""2004"",""NA"",""347"",""2"",""10909023"",""1"""
"1645,"" 21.0154168011446  , 52.2368437349563    "",""IT"",""6"",""102100"",""18080"",""0"",""1.41925332544234"",""1770"",""351"",""2013"",""NA"",""27"",""2"",""0"",""1"""
"1646,"" 21.1820662852703  , 52.2191064924747   "",""RESTAURANT"",""3"",""149776"",""8079"",""0"",""-11.680952496472"",""1685"",""168"",""2006"",""NA"",""33"",""0"",""17990"",""0"""
"1647,""  21.0768277309393  , 52.2952337372885  "",""IT"",""3"",""200698"",""5155"",""1"",""-4.72294684392467"",""553"",""103"",""1998"",""NA"",""74"",""3"",""0"",""0"""
"1648,"" 21.0156192603423  , 52.2327476103418    "",""IT"",""4"",""113200"",""15050"",""0"",""0.102793585293512"",""1485"",""305"",""2013"",""4"",""22"",""3"",""-3997"",""1"""
"1649,"" 21.1902336387858  , 52.1878023926797   "",""IT"",""47"",""181410"",""9984"",""0"",""-1.5303270457216"",""1021"",""187"",""2006"",""12"",""364"",""4"",""994"",""1"""
"1650,"" 21.0159427933891  , 52.2392993957689    "",""RESTAURANT"",""4"",""500771"",""29928"",""0"",""32.2902982903023"",""6065"",""603"",""2012"",""NA"",""48"",""0"",""39908"",""1"""
"1651,"" 21.0130050720531  , 52.2317016231408    "",""PUB"",""5"",""500841"",""29932"",""0"",""-0.00548890718782502"",""5957"",""627"",""2012"",""2"",""53"",""0"",""34947"",""0"""
"1652,"" 21.0107957060162  , 52.2371114770835    "",""IT"",""17"",""375250"",""44020"",""0"",""3.51022362470014"",""4511"",""904"",""2007"",""8"",""212"",""7"",""0"",""1"""
"1653,""  21.0419987545139  , 52.2964477142598  "",""IT"",""31"",""199853"",""4926"",""1"",""-4.97293490293947"",""504"",""98"",""1998"",""NA"",""73"",""0"",""0"",""0"""
"1654,""  21.0762343208073  , 52.2979818079108  "",""IT"",""3"",""199961"",""4982"",""1"",""-6.02228104625373"",""532"",""85"",""2006"",""NA"",""72"",""2"",""0"",""0"""
"1655,"" 21.1908609868009  , 52.1917156115803   "",""RESTAURANT"",""4"",""150211"",""7983"",""0"",""-19.7873142378318"",""1638"",""166"",""2006"",""NA"",""25"",""0"",""17000"",""0"""
"1656,"" 21.0271558123601  , 52.2256111319875    "",""IT"",""4"",""52600"",""9030"",""0"",""0.304866146027966"",""929"",""222"",""2012"",""3"",""27"",""4"",""1008"",""1"""
"1657,""  21.0837176577072  , 52.2913198901084  "",""IT"",""2"",""199800"",""5097"",""0"",""-3.76265728201499"",""543"",""100"",""2008"",""7"",""68"",""2"",""1201"",""1"""
"1658,""  21.0665095543885  , 52.2906665372476  "",""IT"",""34"",""199890"",""4857"",""1"",""-3.5603231934288"",""473"",""103"",""2002"",""NA"",""69"",""1"",""0"",""0"""
"1659,"" 21.0101412131046  , 52.2324895181973    "",""PUB"",""6"",""498883"",""29975"",""1"",""14.1708601366714"",""5970"",""593"",""2013"",""NA"",""50"",""0"",""35166"",""0"""
"1660,"" 21.133270151495  , 52.200607795727   "",""IT"",""51"",""322840"",""10059"",""1"",""-0.391308474477832"",""1022"",""192"",""2001"",""NA"",""370"",""4"",""9393231"",""0"""
"1661,"" 21.1498575351508  , 52.1819927588617   "",""IT"",""7"",""107316"",""7298"",""0"",""1.18046820700961"",""730"",""160"",""2011"",""NA"",""68"",""0"",""19982"",""0"""
"1662,"" 21.0118684064804  , 52.2257975398656    "",""CAFE"",""5"",""499117"",""30073"",""0"",""12.3434249411825"",""6037"",""571"",""2012"",""NA"",""49"",""0"",""25149"",""1"""
"1663,""  21.0367805578047  , 52.2968899913109  "",""IT"",""28"",""199354"",""4950"",""0"",""-6.34669974850417"",""498"",""93"",""2003"",""NA"",""67"",""0"",""0"",""1"""
"1664,"" 21.025121961345  , 52.2211333437683    "",""CAFE"",""1"",""150363"",""8007"",""0"",""-15.4791884703374"",""1647"",""161"",""2010"",""NA"",""31"",""0"",""0"",""0"""
"1665,"" 21.0247589745275  , 52.2227392201405    "",""PUB"",""5"",""499702"",""29912"",""0"",""8.38351746926456"",""5939"",""610"",""2013"",""NA"",""54"",""0"",""40254"",""1"""
"1666,"" 21.0009307072468  , 52.2399775776081    "",""IT"",""17"",""343500"",""41950"",""1"",""1.98405762359352"",""4112"",""849"",""2005"",""NA"",""189"",""4"",""59805"",""1"""
"1667,""  21.0440007193643  , 52.2850776401092  "",""IT"",""29"",""200036"",""5084"",""1"",""-6.77509884952991"",""504"",""83"",""1999"",""9"",""66"",""2"",""0"",""0"""
"1668,""  21.080135478708  , 52.2778584290948  "",""IT"",""4"",""200419"",""4977"",""1"",""-4.94258535135279"",""485"",""81"",""1999"",""9"",""74"",""1"",""0"",""0"""
"1669,"" 21.1641217282498  , 52.1810797506524   "",""IT"",""5"",""81995"",""7907"",""0"",""2.15198662258014"",""795"",""161"",""2013"",""5"",""73"",""0"",""20408"",""1"""
"1670,"" 21.1494818042032  , 52.1738991329842   "",""IT"",""46"",""363310"",""9987"",""1"",""-0.431103450081214"",""1007"",""212"",""1997"",""18"",""361"",""4"",""9798118"",""0"""
"1671,"" 21.1474134243475  , 52.2048773630452   "",""IT"",""48"",""312790"",""9861"",""1"",""-0.912085438812421"",""957"",""197"",""2002"",""11"",""362"",""1"",""10201487"",""1"""
"1672,"" 21.1586142830672  , 52.1813011033973   "",""CAFE"",""4"",""149922"",""7969"",""0"",""-10.4250811361512"",""1612"",""145"",""2011"",""5"",""25"",""0"",""0"",""0"""
"1673,"" 21.159854458699  , 52.1878927263711   "",""CAFE"",""3"",""150272"",""8082"",""0"",""6.94143669916405"",""1602"",""158"",""2009"",""8"",""30"",""1"",""18960"",""0"""
"1674,"" 21.1825964640919  , 52.1788262649137   "",""IT"",""49"",""393550"",""9816"",""1"",""-0.925426248931013"",""967"",""171"",""2003"",""NA"",""360"",""3"",""1003"",""1"""
"1675,""  21.0704016715288  , 52.2700218561618  "",""PUB"",""4"",""120200"",""7887"",""0"",""16.3851619781481"",""1484"",""153"",""2006"",""NA"",""24"",""3"",""0"",""0"""
"1676,"" 21.007869962899  , 52.2330389721179    "",""IT"",""7"",""98100"",""11030"",""1"",""2.27560795752708"",""1077"",""204"",""2013"",""3"",""16"",""1"",""0"",""1"""
"1677,"" 21.0169164030291  , 52.2329726582347    "",""CAFE"",""6"",""149687"",""8101"",""0"",""7.70726342573583"",""1636"",""155"",""2009"",""NA"",""32"",""0"",""19820"",""0"""
"1678,"" 21.1944190363782  , 52.2005906220921   "",""IT"",""49"",""262410"",""10158"",""1"",""-1.97272785031393"",""1028"",""201"",""2006"",""14"",""353"",""3"",""797"",""0"""
"1679,""  21.0910475623538  , 52.2796376158949  "",""IT"",""3"",""199719"",""4995"",""1"",""-4.73588885421927"",""497"",""98"",""2000"",""9"",""71"",""1"",""1300"",""0"""
"1680,""  21.0604096788983  , 52.2806251363549  "",""IT"",""29"",""199323"",""5063"",""1"",""-5.48962068299957"",""500"",""104"",""2001"",""4"",""70"",""2"",""1298"",""0"""
"1681,"" 21.0271262513851  , 52.2226745654317    "",""RESTAURANT"",""6"",""499389"",""29768"",""0"",""6.14049101882638"",""6135"",""557"",""2011"",""4"",""56"",""0"",""65124"",""0"""
"1682,"" 21.0083042107066  , 52.2212704649335    "",""CAFE"",""4"",""499988"",""29939"",""0"",""10.7097548409658"",""6064"",""594"",""2009"",""3"",""49"",""0"",""60266"",""1"""
"1683,"" 21.0020218872593  , 52.2216152333794    "",""RESTAURANT"",""6"",""499595"",""29756"",""0"",""22.2456100511571"",""6016"",""544"",""2012"",""NA"",""50"",""1"",""45136"",""1"""
"1684,""  21.0620818874706  , 52.2912724469509  "",""IT"",""3"",""199948"",""5042"",""1"",""-5.47401964862113"",""503"",""117"",""2003"",""5"",""72"",""1"",""0"",""0"""
"1685,"" 21.1581685516108  , 52.2010503770597   "",""IT"",""45"",""302630"",""10202"",""0"",""-1.57483231075822"",""1031"",""198"",""1998"",""NA"",""357"",""6"",""9596661"",""1"""
"1686,""  21.0451691887155  , 52.2928923739586  "",""IT"",""28"",""199119"",""5047"",""1"",""-6.19935721613503"",""528"",""110"",""2001"",""8"",""78"",""0"",""0"",""0"""
"1687,""  21.0683764052857  , 52.285741311952  "",""IT"",""28"",""199798"",""4983"",""1"",""-5.28748966228573"",""518"",""89"",""1999"",""6"",""71"",""2"",""0"",""1"""
"1688,"" 21.0176530263554  , 52.2399714091467    "",""PUB"",""5"",""149561"",""8222"",""0"",""-11.5475294765804"",""1622"",""151"",""2010"",""4"",""27"",""2"",""0"",""1"""
"1689,"" 21.1436613671398  , 52.2134327459661   "",""PUB"",""5"",""150323"",""8057"",""0"",""6.6929585670949"",""1653"",""150"",""2002"",""NA"",""31"",""1"",""0"",""0"""
"1690,"" 21.1718846016712  , 52.1969428365864   "",""IT"",""49"",""333030"",""9949"",""1"",""-2.6010750555876"",""988"",""194"",""1998"",""11"",""368"",""4"",""10504647"",""0"""
"1691,"" 21.1423604238862  , 52.1879832983296   "",""IT"",""50"",""393710"",""9835"",""1"",""-1.35894626317839"",""989"",""193"",""2003"",""NA"",""363"",""5"",""1063"",""0"""
"1692,"" 21.1578002673294  , 52.1884623063426   "",""IT"",""44"",""292590"",""9922"",""0"",""-2.51062453295122"",""1040"",""202"",""2000"",""13"",""370"",""8"",""971"",""1"""
"1693,"" 21.1328747017905  , 52.184079934638   "",""IT"",""6"",""79971"",""8501"",""0"",""1.13547430416966"",""862"",""180"",""2014"",""NA"",""67"",""2"",""20260"",""1"""
"1694,"" 21.0135861770802  , 52.2233750214521    "",""IT"",""8"",""68800"",""4960"",""1"",""0.896323535079985"",""513"",""112"",""2014"",""NA"",""15"",""1"",""-997"",""1"""
"1695,"" 21.1953545867261  , 52.2199185578781   "",""IT"",""4"",""66890"",""7992"",""0"",""1.73953245440804"",""807"",""176"",""2011"",""5"",""71"",""0"",""19878"",""1"""
"1696,"" 21.0240835391418  , 52.2330703416234    "",""IT"",""4"",""65700"",""12080"",""1"",""0.256737448471063"",""1230"",""243"",""2013"",""4"",""18"",""2"",""0"",""1"""
"1697,"" 21.0180326854303  , 52.2345451149764    "",""IT"",""5"",""74800"",""8970"",""0"",""1.03395915996579"",""939"",""180"",""2014"",""7"",""20"",""5"",""0"",""1"""
"1698,"" 21.0254468002592  , 52.2248639928363    "",""CAFE"",""4"",""499764"",""29935"",""0"",""-6.11860845029722"",""6058"",""583"",""2012"",""NA"",""51"",""0"",""60142"",""0"""
